                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7371,                 4.4673,                 4.3667,                0.00296,                    0.2,                0.00392,                0.00123,                 4.1768,                  4.199,                 4.1576,                0.00015,                0.00015,                0.00015
                      2,                 3.5033,                 4.2097,                 4.2147,                0.00273,                0.17778,                 0.0034,                0.00128,                 4.1705,                 4.1919,                 4.1553,             0.00031095,             0.00031095,             0.00031095
                      3,                 3.5029,                 3.7948,                 4.1014,                 0.0028,                0.19444,                0.00678,                0.00207,                 4.1562,                 4.1958,                 4.1508,              0.0004703,              0.0004703,              0.0004703
                      4,                 3.3321,                 3.5142,                 3.8883,                 0.0028,                0.19444,                0.00751,                0.00237,                 4.1984,                  4.238,                 4.1797,             0.00062803,             0.00062803,             0.00062803
                      5,                 3.1296,                  3.283,                 3.6692,                0.00275,                0.18333,                0.00641,                0.00199,                 4.1949,                 4.2832,                 4.2013,             0.00078416,             0.00078416,             0.00078416
                      6,                 3.1003,                 3.1767,                 3.5395,                0.00327,                0.17222,                0.00566,                0.00166,                 4.4537,                 4.3783,                 4.3936,             0.00093868,             0.00093868,             0.00093868
                      7,                 2.9847,                  3.078,                 3.3986,                0.00305,                0.18889,                0.00681,                0.00178,                 4.3616,                 4.3166,                  4.332,              0.0010916,              0.0010916,              0.0010916
                      8,                 2.8019,                 2.9773,                 3.2656,                0.00423,                0.32778,                0.02465,                0.00629,                 3.2839,                 4.0311,                 3.6466,              0.0012067,              0.0012067,              0.0012067
                      9,                  2.677,                 2.8527,                 3.1864,                0.86092,                0.08333,                0.10969,                 0.0207,                 3.0202,                 3.8087,                 3.5405,              0.0012067,              0.0012067,              0.0012067
                     10,                 2.5598,                 2.7378,                 3.0538,                0.86262,                0.08333,                0.12989,                0.03212,                 2.8799,                 3.5865,                 3.3161,              0.0012005,              0.0012005,              0.0012005
                     11,                 2.5062,                 2.6523,                 2.9697,                0.34974,                   0.15,                0.12189,                0.02953,                 2.7325,                 5.5138,                 3.2529,              0.0011943,              0.0011943,              0.0011943
                     12,                 2.4194,                 2.5233,                 2.9377,                0.62195,                0.06667,                0.08388,                0.01566,                 2.8322,                 5.8572,                 3.3058,              0.0011881,              0.0011881,              0.0011881
                     13,                 2.3846,                   2.45,                 2.8592,                0.05841,                0.26242,                 0.0753,                0.02181,                 2.5391,                 4.0467,                 3.1464,              0.0011819,              0.0011819,              0.0011819
                     14,                 2.3354,                 2.4029,                 2.7984,                0.04803,                0.24052,                0.06129,                0.01978,                 2.7634,                 4.1712,                 3.2583,              0.0011757,              0.0011757,              0.0011757
                     15,                 2.2592,                 2.3475,                 2.6893,                0.48645,                 0.2866,                0.25154,                 0.0746,                 2.4144,                 3.3531,                 3.1462,              0.0011696,              0.0011696,              0.0011696
                     16,                 2.1828,                 2.1663,                 2.6568,                0.09053,                0.13333,                0.05956,                0.01754,                 2.7401,                 3.7012,                  3.396,              0.0011634,              0.0011634,              0.0011634
                     17,                 2.1248,                 2.1652,                 2.5982,                0.83769,                0.15556,                0.14663,                0.04702,                 2.1989,                 3.3502,                 2.8374,              0.0011572,              0.0011572,              0.0011572
                     18,                 2.0623,                 1.9978,                 2.4933,                0.52847,                0.28072,                0.23334,                0.07101,                 2.0386,                 2.4883,                 2.7356,               0.001151,               0.001151,               0.001151
                     19,                 2.0103,                 1.8773,                 2.4392,                0.37771,                0.40637,                0.37197,                0.14581,                 2.1064,                 2.4577,                 2.7472,              0.0011448,              0.0011448,              0.0011448
                     20,                 1.9855,                 1.9102,                  2.428,                0.22733,                0.50784,                0.38962,                0.11864,                 2.1753,                 2.3066,                 2.8359,              0.0011386,              0.0011386,              0.0011386
                     21,                 1.9069,                 1.8445,                 2.3716,                0.25386,                0.46216,                0.35435,                0.08828,                 2.2824,                 2.5965,                 2.9678,              0.0011324,              0.0011324,              0.0011324
                     22,                 1.8988,                 1.8067,                 2.3276,                0.40216,                 0.4794,                0.29119,                0.09302,                 2.1491,                 2.2242,                  2.922,              0.0011263,              0.0011263,              0.0011263
                     23,                 1.8353,                 1.7334,                 2.2649,                0.26933,                0.39673,                0.35075,                0.12873,                 2.0012,                 2.3097,                 2.8109,              0.0011201,              0.0011201,              0.0011201
                     24,                 1.8033,                 1.6537,                 2.2083,                0.38042,                    0.2,                0.15705,                0.05247,                 2.2162,                 2.6058,                 2.8674,              0.0011139,              0.0011139,              0.0011139
                     25,                 1.7471,                 1.6358,                 2.1967,                0.27996,                0.38824,                0.28847,                0.11647,                   2.08,                 2.3601,                 2.7612,              0.0011077,              0.0011077,              0.0011077
                     26,                 1.7802,                 1.6394,                 2.1808,                0.27943,                0.34248,                 0.3001,                0.12961,                 1.9937,                 2.2195,                 2.6806,              0.0011015,              0.0011015,              0.0011015
                     27,                 1.6812,                 1.5713,                 2.1245,                 0.4027,                0.39158,                0.37298,                0.15084,                 1.9391,                 2.0249,                 2.5476,              0.0010953,              0.0010953,              0.0010953
                     28,                 1.6552,                 1.5691,                 2.0677,                0.33654,                0.68562,                0.54716,                0.20858,                 1.9115,                 1.8872,                 2.6396,              0.0010891,              0.0010891,              0.0010891
                     29,                 1.5451,                  1.465,                 1.9797,                0.38848,                0.48105,                0.44412,                0.19938,                 1.8826,                 1.7767,                 2.5763,              0.0010829,              0.0010829,              0.0010829
                     30,                 1.5435,                 1.4264,                 1.9862,                0.50221,                0.41466,                0.46036,                0.19812,                 1.7871,                 2.0351,                 2.5451,              0.0010768,              0.0010768,              0.0010768
