                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.44983,                0.28902,                0.92486,                0.97611,                0.95285,                0.97476,                0.88119,                0.53254,                0.33356,                0.92097,               0.067524,             0.00032804,             0.00032804
                      2,                0.43949,                0.27723,                0.91817,                0.98059,                0.94493,                0.97217,                0.88075,                0.52562,                0.32961,                0.92277,               0.034517,             0.00065483,             0.00065483
                      3,                0.43332,                 0.2754,                0.91485,                0.96981,                0.93205,                0.97043,                0.87581,                0.53688,                0.33234,                0.92844,              0.0015041,             0.00097501,             0.00097501
                      4,                0.43979,                0.28469,                0.91702,                0.98001,                0.95341,                 0.9742,                0.88078,                0.52843,                0.32386,                0.91817,              0.0009703,              0.0009703,              0.0009703
                      5,                0.43484,                0.28153,                0.91531,                0.98929,                 0.9702,                0.97818,                0.88496,                0.51573,                0.31341,                0.90855,              0.0009703,              0.0009703,              0.0009703
                      6,                0.43792,                0.28228,                0.91897,                0.98229,                0.93943,                0.97137,                0.88016,                0.53279,                0.32886,                0.92862,              0.0009604,              0.0009604,              0.0009604
                      7,                0.44231,                0.28235,                0.91749,                0.98209,                0.93985,                0.97097,                0.87988,                 0.5297,                 0.3282,                0.92534,              0.0009505,              0.0009505,              0.0009505
                      8,                0.42849,                0.27588,                0.91093,                0.97353,                0.93186,                0.96863,                 0.8773,                0.52941,                0.33012,                0.92862,              0.0009406,              0.0009406,              0.0009406
                      9,                 0.4367,                0.27888,                0.91822,                 0.9816,                0.93679,                0.97087,                0.87977,                0.52909,                0.32798,                 0.9255,              0.0009307,              0.0009307,              0.0009307
                     10,                0.43609,                0.28169,                 0.9212,                0.98471,                 0.9492,                0.97299,                0.88068,                0.52707,                0.32582,                0.91738,              0.0009208,              0.0009208,              0.0009208
                     11,                0.43032,                0.27645,                0.91648,                0.98184,                0.93639,                0.96944,                0.88175,                0.52933,                 0.3228,                0.92497,              0.0009109,              0.0009109,              0.0009109
                     12,                0.42613,                0.27617,                 0.9117,                 0.9726,                0.95196,                0.97176,                0.87914,                0.53215,                0.32464,                0.92535,               0.000901,               0.000901,               0.000901
                     13,                   0.43,                0.27732,                0.91435,                0.97914,                0.95466,                0.97395,                0.87476,                0.53152,                0.32375,                0.91958,              0.0008911,              0.0008911,              0.0008911
                     14,                0.42636,                0.27495,                0.91463,                0.97534,                0.94529,                0.97064,                0.87757,                0.52951,                0.32523,                0.92606,              0.0008812,              0.0008812,              0.0008812
                     15,                0.42132,                0.27544,                 0.9121,                0.98696,                0.93712,                0.96892,                 0.8783,                0.52985,                0.31693,                0.92556,              0.0008713,              0.0008713,              0.0008713
                     16,                0.42627,                0.27543,                0.91284,                0.97301,                0.95436,                  0.971,                0.87838,                0.52502,                0.32131,                0.91902,              0.0008614,              0.0008614,              0.0008614
                     17,                0.42082,                0.26974,                0.90981,                0.98721,                0.93691,                0.97119,                0.87565,                0.53623,                0.32505,                0.92598,              0.0008515,              0.0008515,              0.0008515
                     18,                0.43825,                0.27789,                0.91781,                0.98756,                0.94224,                 0.9728,                0.87931,                0.53033,                0.31916,                0.92613,              0.0008416,              0.0008416,              0.0008416
                     19,                0.43367,                0.27729,                0.92001,                0.98143,                0.94053,                0.97023,                0.87678,                0.53106,                0.32125,                0.92725,              0.0008317,              0.0008317,              0.0008317
                     20,                0.42223,                 0.2697,                0.90876,                0.96817,                0.95662,                0.97024,                0.87866,                0.53125,                0.32361,                 0.9253,              0.0008218,              0.0008218,              0.0008218
                     21,                0.43174,                0.27603,                0.91554,                0.98224,                 0.9412,                0.96779,                0.87124,                0.53849,                0.32357,                0.92874,              0.0008119,              0.0008119,              0.0008119
                     22,                0.42985,                0.27495,                0.91138,                0.97362,                0.94111,                0.96972,                0.87591,                0.53523,                0.32413,                0.93188,               0.000802,               0.000802,               0.000802
                     23,                0.41502,                0.26647,                0.91009,                0.98954,                0.93475,                 0.9706,                0.88024,                0.52826,                0.31787,                0.92471,              0.0007921,              0.0007921,              0.0007921
                     24,                0.41945,                0.26844,                0.90476,                0.98252,                0.93534,                0.97037,                0.87859,                0.52897,                0.31918,                0.92549,              0.0007822,              0.0007822,              0.0007822
                     25,                 0.4325,                0.27167,                0.91382,                0.98908,                0.93865,                 0.9721,                0.87919,                 0.5215,                0.31807,                0.91692,              0.0007723,              0.0007723,              0.0007723
                     26,                0.42631,                0.26914,                0.91295,                  0.987,                0.93789,                0.96948,                0.87852,                0.53088,                0.31974,                0.92652,              0.0007624,              0.0007624,              0.0007624
                     27,                0.43273,                 0.2734,                0.91436,                0.98461,                0.93466,                0.96973,                0.87897,                 0.5377,                0.32343,                0.92939,              0.0007525,              0.0007525,              0.0007525
                     28,                0.42276,                0.26978,                0.90803,                0.97528,                0.95389,                0.97186,                0.87803,                0.52128,                0.31512,                0.91641,              0.0007426,              0.0007426,              0.0007426
                     29,                0.42138,                0.26694,                0.90885,                   0.97,                0.93852,                0.96717,                0.87542,                0.53368,                0.32285,                0.93023,              0.0007327,              0.0007327,              0.0007327
                     30,                0.42499,                0.26898,                0.91338,                0.96873,                0.95414,                0.96969,                0.87768,                0.52865,                0.32122,                0.92149,              0.0007228,              0.0007228,              0.0007228
                     31,                0.42067,                0.26992,                0.90756,                0.98265,                 0.9565,                0.97333,                0.87976,                 0.5206,                0.31292,                0.91519,              0.0007129,              0.0007129,              0.0007129
                     32,                0.42535,                0.27168,                0.91085,                0.97912,                0.93526,                0.96965,                   0.88,                0.52754,                0.31509,                0.92581,               0.000703,               0.000703,               0.000703
                     33,                0.41648,                0.26158,                0.90901,                0.97442,                0.94088,                0.96961,                0.87562,                0.53159,                0.32122,                 0.9293,              0.0006931,              0.0006931,              0.0006931
                     34,                0.42366,                0.26927,                0.91228,                0.97939,                0.94153,                0.96958,                0.87613,                0.52793,                0.31735,                0.92722,              0.0006832,              0.0006832,              0.0006832
                     35,                0.41034,                0.26334,                0.90615,                0.98946,                0.93521,                0.97085,                0.87809,                0.52848,                0.31901,                0.92363,              0.0006733,              0.0006733,              0.0006733
                     36,                 0.4262,                0.27174,                0.91174,                0.98067,                0.94113,                0.97041,                0.87744,                0.53078,                0.31626,                0.92859,              0.0006634,              0.0006634,              0.0006634
                     37,                0.41294,                0.26326,                0.90647,                0.98969,                0.93675,                 0.9703,                0.87803,                0.52823,                0.31967,                0.92311,              0.0006535,              0.0006535,              0.0006535
                     38,                0.41564,                0.26623,                0.90189,                0.98324,                0.93159,                0.96765,                0.87767,                0.52876,                0.31662,                0.92705,              0.0006436,              0.0006436,              0.0006436
                     39,                0.41304,                0.26403,                0.90977,                0.98655,                 0.9348,                0.96958,                0.87877,                0.52787,                0.31898,                0.92456,              0.0006337,              0.0006337,              0.0006337
                     40,                0.41067,                0.26222,                0.90456,                0.97207,                 0.9437,                0.97035,                0.87919,                0.52872,                0.31717,                0.92535,              0.0006238,              0.0006238,              0.0006238
                     41,                0.41348,                0.26361,                0.90566,                0.97844,                 0.9392,                0.97003,                 0.8776,                0.52967,                0.31653,                0.92678,              0.0006139,              0.0006139,              0.0006139
                     42,                0.41157,                0.26197,                0.90407,                0.97183,                0.93956,                0.96821,                0.87458,                0.53911,                0.32168,                0.93813,               0.000604,               0.000604,               0.000604
                     43,                 0.4173,                0.26482,                0.90519,                0.98828,                0.93405,                0.96814,                0.87558,                0.52664,                0.31764,                0.92535,              0.0005941,              0.0005941,              0.0005941
                     44,                0.41959,                0.26531,                0.90794,                0.96933,                0.96273,                0.97176,                0.87695,                0.52025,                0.31718,                0.91539,              0.0005842,              0.0005842,              0.0005842
                     45,                0.41925,                0.26669,                0.90844,                0.98614,                0.93593,                0.96956,                0.87884,                0.53065,                0.31889,                0.92657,              0.0005743,              0.0005743,              0.0005743
                     46,                0.40754,                 0.2626,                0.90826,                0.97786,                0.94952,                0.97185,                0.87927,                0.52703,                0.31957,                0.92026,              0.0005644,              0.0005644,              0.0005644
                     47,                0.41959,                0.26042,                0.91048,                0.99055,                0.93946,                0.96901,                 0.8756,                0.52384,                 0.3184,                0.92252,              0.0005545,              0.0005545,              0.0005545
                     48,                0.40323,                0.25759,                0.90396,                0.96937,                0.94623,                0.96926,                0.87905,                0.52658,                0.31291,                0.92364,              0.0005446,              0.0005446,              0.0005446
                     49,                0.40736,                0.26273,                0.90784,                0.98078,                0.95249,                 0.9723,                0.87676,                0.51961,                0.31648,                0.91399,              0.0005347,              0.0005347,              0.0005347
                     50,                0.41033,                0.26267,                0.90599,                0.96893,                0.95389,                0.96921,                0.87805,                0.52444,                0.31396,                0.92065,              0.0005248,              0.0005248,              0.0005248
                     51,                0.41334,                0.26279,                0.91027,                0.97514,                0.93581,                0.96718,                0.87504,                0.53337,                0.31865,                0.92972,              0.0005149,              0.0005149,              0.0005149
                     52,                0.41077,                0.26364,                0.90226,                0.98863,                0.93001,                0.96736,                0.87779,                0.53165,                0.31551,                0.92997,               0.000505,               0.000505,               0.000505
                     53,                0.41723,                0.26317,                0.90831,                0.97174,                0.95009,                0.97011,                0.87904,                0.53267,                0.31548,                0.92528,              0.0004951,              0.0004951,              0.0004951
                     54,                0.40566,                0.26015,                0.90155,                0.98644,                0.93434,                0.96848,                0.87763,                0.53085,                0.31348,                0.92776,              0.0004852,              0.0004852,              0.0004852
                     55,                0.41303,                0.26486,                0.90621,                0.97226,                0.95186,                0.96938,                0.87551,                0.53188,                0.31886,                0.92574,              0.0004753,              0.0004753,              0.0004753
