                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67659,                0.47601,                 1.0373,                0.77183,                0.76983,                0.88429,                0.72143,                0.79569,                0.90694,                 1.1106,               0.070476,              0.0032804,              0.0032804
                      2,                0.78668,                0.56355,                 1.1231,                0.90451,                0.81856,                 0.8663,                0.69105,                0.88612,                0.80843,                 1.2682,               0.040411,              0.0065483,              0.0065483
                      3,                0.79338,                0.57901,                 1.1381,                  0.888,                0.83414,                0.86687,                0.64557,                 1.0068,                 0.9635,                  1.408,               0.010279,              0.0097501,              0.0097501
                      4,                0.82217,                0.62631,                 1.1612,                 0.9457,                0.91146,                0.93542,                0.75208,                0.78156,                0.89561,                 1.1412,               0.009703,               0.009703,               0.009703
                      5,                0.80142,                0.58453,                 1.1418,                0.96127,                0.92256,                0.97046,                0.77877,                0.78618,                0.80518,                 1.1042,               0.009703,               0.009703,               0.009703
                      6,                0.77533,                0.56189,                 1.1261,                0.86792,                0.91188,                0.93272,                0.76463,                0.74552,                0.69973,                 1.1356,               0.009604,               0.009604,               0.009604
                      7,                 0.7569,                0.52777,                 1.1085,                0.95019,                0.87838,                0.91982,                0.73395,                0.81566,                0.73198,                 1.1323,               0.009505,               0.009505,               0.009505
                      8,                0.73319,                0.51155,                 1.0888,                0.96555,                0.88378,                0.93401,                0.77713,                0.71846,                0.59487,                 1.0872,               0.009406,               0.009406,               0.009406
                      9,                0.70364,                0.49472,                 1.0822,                0.94449,                0.89017,                0.93851,                0.78402,                0.74042,                0.55072,                 1.0914,               0.009307,               0.009307,               0.009307
                     10,                0.69137,                0.48755,                 1.0838,                0.96039,                0.86474,                0.93461,                0.77084,                0.75343,                0.65159,                 1.1145,               0.009208,               0.009208,               0.009208
                     11,                0.67839,                0.47498,                 1.0702,                0.92923,                0.93743,                0.94439,                0.78088,                0.71802,                0.56544,                 1.0512,               0.009109,               0.009109,               0.009109
                     12,                 0.6603,                0.45984,                 1.0639,                0.94915,                0.96075,                 0.9708,                0.82684,                0.63771,                0.48019,                 1.0017,                0.00901,                0.00901,                0.00901
                     13,                0.66618,                0.46683,                 1.0645,                0.95661,                0.92881,                0.96252,                0.81389,                0.65772,                 0.5629,                 1.0496,               0.008911,               0.008911,               0.008911
                     14,                0.65732,                0.45364,                 1.0601,                0.87273,                0.90723,                0.93785,                0.76528,                0.77294,                0.54024,                 1.1087,               0.008812,               0.008812,               0.008812
                     15,                 0.6422,                0.44777,                 1.0464,                0.91407,                0.93697,                0.91829,                0.77316,                0.67575,                0.54037,                 1.0721,               0.008713,               0.008713,               0.008713
                     16,                0.63931,                0.44157,                  1.048,                0.93737,                0.94639,                0.95536,                0.81123,                0.64813,                0.48756,                 1.0128,               0.008614,               0.008614,               0.008614
                     17,                0.62994,                0.42641,                  1.034,                0.95308,                0.94765,                0.96807,                0.83696,                0.60675,                0.46107,                0.98509,               0.008515,               0.008515,               0.008515
                     18,                0.66184,                0.43468,                 1.0533,                0.92408,                0.93681,                0.95303,                0.80044,                0.69743,                0.49846,                 1.0647,               0.008416,               0.008416,               0.008416
                     19,                0.64157,                 0.4326,                 1.0545,                0.92886,                0.90457,                0.93797,                 0.8059,                0.64205,                0.53023,                 1.0409,               0.008317,               0.008317,               0.008317
                     20,                0.62765,                0.42043,                 1.0337,                0.94555,                0.93122,                0.96309,                0.82793,                 0.6468,                0.48263,                 1.0237,               0.008218,               0.008218,               0.008218
                     21,                 0.6349,                0.42499,                 1.0381,                0.93301,                0.90271,                0.95034,                0.78933,                0.73713,                0.50332,                 1.0794,               0.008119,               0.008119,               0.008119
                     22,                 0.6135,                0.41673,                 1.0271,                0.94535,                0.93804,                0.96258,                0.83185,                0.60404,                0.43999,                 1.0084,                0.00802,                0.00802,                0.00802
                     23,                0.59713,                0.41101,                 1.0203,                0.90639,                0.89864,                0.92408,                0.79926,                0.66684,                0.48715,                   1.05,               0.007921,               0.007921,               0.007921
                     24,                0.60448,                 0.4027,                 1.0178,                0.96009,                0.82335,                0.87627,                0.74764,                0.75371,                0.55433,                 1.1366,               0.007822,               0.007822,               0.007822
                     25,                0.61529,                0.41389,                 1.0299,                0.91567,                0.87778,                0.93068,                 0.7954,                 0.6467,                0.53302,                 1.0186,               0.007723,               0.007723,               0.007723
                     26,                0.61045,                0.40794,                 1.0262,                0.93899,                0.92672,                0.94729,                0.81099,                0.63723,                0.46601,                 1.0284,               0.007624,               0.007624,               0.007624
                     27,                0.61402,                0.40897,                 1.0243,                0.89296,                0.91381,                0.93592,                0.79634,                0.69242,                0.49679,                  1.078,               0.007525,               0.007525,               0.007525
                     28,                0.58669,                0.40033,                 1.0084,                0.92382,                0.89733,                0.93561,                0.78843,                0.69812,                 0.5353,                 1.0696,               0.007426,               0.007426,               0.007426
                     29,                0.58476,                0.39737,                 1.0105,                0.89801,                0.95587,                0.93961,                0.80819,                0.63828,                 0.4977,                 1.0312,               0.007327,               0.007327,               0.007327
                     30,                0.60196,                0.40572,                 1.0179,                0.92733,                0.95071,                0.96563,                0.82323,                0.61832,                0.45857,                 1.0106,               0.007228,               0.007228,               0.007228
                     31,                0.60145,                0.41009,                 1.0106,                0.93698,                 0.9121,                0.96484,                0.82261,                0.62808,                0.48858,                 1.0277,               0.007129,               0.007129,               0.007129
                     32,                0.59519,                0.39852,                 1.0144,                0.93851,                0.92734,                0.94827,                0.80547,                0.65521,                 0.4638,                 1.0236,                0.00703,                0.00703,                0.00703
                     33,                 0.6004,                 0.3941,                 1.0077,                0.93393,                0.88455,                0.92846,                0.78044,                0.71002,                0.48943,                 1.0829,               0.006931,               0.006931,               0.006931
                     34,                0.59256,                0.39137,                 1.0134,                0.94041,                0.90642,                 0.9528,                0.82124,                0.64826,                0.46651,                 1.0351,               0.006832,               0.006832,               0.006832
                     35,                0.56635,                0.38009,                 1.0025,                0.94199,                0.86615,                0.92791,                0.80142,                0.64192,                0.47885,                 1.0457,               0.006733,               0.006733,               0.006733
                     36,                0.57316,                0.38327,                 1.0032,                0.91916,                0.85704,                0.92003,                0.80306,                0.61267,                0.48728,                 1.0193,               0.006634,               0.006634,               0.006634
                     37,                0.56708,                0.37434,                 1.0024,                0.96249,                0.94627,                0.97082,                0.84185,                0.61253,                0.40704,                 1.0135,               0.006535,               0.006535,               0.006535
                     38,                0.56978,                0.38434,                0.99838,                0.91896,                 0.9218,                0.95461,                0.79899,                0.70224,                0.48214,                 1.0775,               0.006436,               0.006436,               0.006436
                     39,                0.57235,                 0.3781,                  1.002,                 0.9113,                0.87913,                0.92777,                0.78975,                0.68249,                0.48381,                 1.0773,               0.006337,               0.006337,               0.006337
                     40,                0.55557,                0.36631,                0.99046,                0.86433,                0.88117,                0.90229,                0.77009,                0.74866,                0.49212,                 1.1234,               0.006238,               0.006238,               0.006238
                     41,                0.56598,                0.37467,                0.99329,                 0.9313,                0.86576,                0.92886,                 0.7968,                0.65054,                0.47294,                 1.0618,               0.006139,               0.006139,               0.006139
