                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98452,                0.81851,                 1.2887,                0.95825,                0.94219,                0.95962,                0.76971,                0.77848,                0.59573,                 1.1067,             0.00041005,             0.00041005,             0.00041005
                      2,                0.86563,                0.61549,                 1.1956,                0.95102,                0.91761,                 0.9628,                0.78524,                0.76586,                0.53508,                 1.0534,             0.00082263,             0.00082263,             0.00082263
                      3,                 0.8386,                0.59126,                 1.1714,                0.96518,                0.94859,                 0.9724,                0.80677,                0.73274,                 0.5105,                 1.0431,              0.0012311,              0.0012311,              0.0012311
                      4,                0.85938,                0.60609,                 1.1752,                0.97516,                  0.958,                0.97262,                0.80028,                0.70493,                0.53959,                  1.028,              0.0012314,              0.0012314,              0.0012314
                      5,                0.82361,                0.56752,                 1.1574,                0.94909,                0.93677,                0.96554,                0.80037,                0.73296,                 0.5155,                 1.0256,              0.0012314,              0.0012314,              0.0012314
                      6,                0.78591,                0.53987,                 1.1363,                 0.9777,                0.95984,                0.97614,                0.83357,                0.63809,                0.45364,                  0.988,              0.0012252,              0.0012252,              0.0012252
                      7,                0.77628,                0.52792,                 1.1291,                0.88832,                0.90962,                0.94605,                0.80897,                0.64896,                 0.5217,                0.98847,              0.0012191,              0.0012191,              0.0012191
                      8,                0.74127,                0.50221,                  1.101,                0.95231,                0.94761,                0.96891,                0.81497,                0.65908,                0.48455,                0.99825,              0.0012129,              0.0012129,              0.0012129
                      9,                0.73525,                0.50192,                 1.0996,                0.97952,                 0.9648,                0.96891,                0.83044,                0.63907,                0.43189,                0.97782,              0.0012067,              0.0012067,              0.0012067
                     10,                0.71534,                0.49071,                 1.0957,                0.96902,                0.95806,                0.97434,                0.82316,                  0.619,                0.43768,                0.96877,              0.0012005,              0.0012005,              0.0012005
                     11,                0.70876,                0.47954,                 1.0862,                0.93457,                0.95147,                0.96447,                0.82017,                0.61941,                0.46039,                0.98292,              0.0011943,              0.0011943,              0.0011943
                     12,                0.69768,                0.47869,                 1.0754,                0.96325,                0.96105,                0.96839,                0.80594,                0.66899,                0.49249,                0.99806,              0.0011881,              0.0011881,              0.0011881
                     13,                0.70798,                0.48145,                 1.0777,                0.96456,                0.92244,                0.96798,                  0.826,                0.66088,                0.44734,                0.99682,              0.0011819,              0.0011819,              0.0011819
                     14,                 0.6837,                0.45592,                 1.0671,                0.95914,                0.95534,                0.96712,                0.81794,                0.65801,                0.45904,                0.98755,              0.0011757,              0.0011757,              0.0011757
                     15,                0.66912,                0.45432,                 1.0606,                0.98223,                0.94393,                0.97456,                0.84163,                0.61719,                0.42478,                0.96649,              0.0011696,              0.0011696,              0.0011696
                     16,                0.66169,                0.44686,                 1.0552,                0.95145,                0.95333,                0.97367,                0.81586,                0.66695,                0.43607,                0.98627,              0.0011634,              0.0011634,              0.0011634
                     17,                0.66013,                0.44418,                 1.0516,                0.96306,                0.93848,                0.96004,                0.83943,                0.57241,                0.42952,                0.95472,              0.0011572,              0.0011572,              0.0011572
